Account_Email,Account_Type,Project,Current_Role,Recommendation,Description,Total_Permissions,Used_Permissions,Unused_Permissions,Waste_Percentage,Risk_Score,Over_Privilege_Score,Priority,Exercised_Permissions
serviceAccount:gitlab-5318ef1768e1a92506f3bd@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/storage.objectUser,REPLACE_ROLE,Replace the current role with a smaller role to cover the permissions needed.,24,1,23,95.8,81,96,P4,resourcemanager.projects.get
user:steve.chong@documo.com,user,foiply-app,roles/notebooks.runner,REPLACE_ROLE,Replace the current role with a smaller role to cover the permissions needed.,390,30,360,92.3,80,89,P4,compute.acceleratorTypes.list; compute.addresses.list; compute.backendServices.list; compute.diskTypes.list; compute.disks.list
serviceAccount:gitlab-5318ef1768e1a92506f3bd@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/cloudbuild.builds.editor,REPLACE_ROLE,Replace the current role with a smaller role to cover the permissions needed.,11,1,10,90.9,62,91,P4,resourcemanager.projects.get
user:dan.kott@documo.com,user,foiply-app,roles/advisorynotifications.admin,REPLACE_ROLE,Replace the current role with a smaller role to cover the permissions needed.,6,1,5,83.3,69,83,P4,resourcemanager.projects.get
group:devops@documo.com,group,foiply-app,roles/cloudkms.cryptoKeyEncrypterDecrypter,REPLACE_ROLE,Replace the current role with a smaller role to cover the permissions needed.,5,1,4,80.0,51,80,P4,resourcemanager.projects.get
user:dan.kott@documo.com,user,foiply-app,roles/gkehub.admin,REPLACE_ROLE,Replace the current role with a smaller role to cover the permissions needed.,58,13,45,77.6,52,72,P4,gkehub.features.create; gkehub.features.get; gkehub.features.list; gkehub.fleet.get; gkehub.fleet.getFreeTrial
user:sandra.gendy@documo.com,user,foiply-app,roles/gkehub.admin,REPLACE_ROLE,Replace the current role with a smaller role to cover the permissions needed.,58,13,45,77.6,52,72,P4,gkehub.features.create; gkehub.features.get; gkehub.features.list; gkehub.fleet.get; gkehub.fleet.getFreeTrial
serviceAccount:xfs-production-secrets-manager@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/secretmanager.secretAccessor,REPLACE_ROLE,Replace the current role with a smaller role to cover the permissions needed.,3,1,2,66.7,0,33,P4,secretmanager.versions.access
serviceAccount:xfs-secret-manager-sa@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/secretmanager.secretAccessor,REPLACE_ROLE,Replace the current role with a smaller role to cover the permissions needed.,3,1,2,66.7,0,33,P4,secretmanager.versions.access
serviceAccount:gsa-xfs-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/secretmanager.secretAccessor,REPLACE_ROLE,Replace the current role with a smaller role to cover the permissions needed.,3,1,2,66.7,0,33,P4,secretmanager.versions.access
user:sandra.gendy@documo.com,user,foiply-app,roles/iam.roleAdmin,REPLACE_ROLE,Replace the current role with a smaller role to cover the permissions needed.,8,4,4,50.0,25,50,P4,iam.roles.get; iam.roles.list; resourcemanager.projects.get; resourcemanager.projects.getIamPolicy
serviceAccount:gitlab-5318ef1768e1a92506f3bd@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/gkehub.gatewayAdmin,REPLACE_ROLE,Replace the current role with a smaller role to cover the permissions needed.,9,6,3,33.3,0,33,P4,gkehub.gateway.delete; gkehub.gateway.generateCredentials; gkehub.gateway.get; gkehub.gateway.patch; gkehub.gateway.post
user:sandra.gendy@documo.com,user,foiply-app,roles/gkehub.gatewayAdmin,REPLACE_ROLE,Replace the current role with a smaller role to cover the permissions needed.,9,7,2,22.2,5,22,P4,gkehub.gateway.delete; gkehub.gateway.get; gkehub.gateway.patch; gkehub.gateway.post; gkehub.gateway.put
